Td    ID    Tj    Df    Dd    Db
17    2004    1     6     10     16
0    5    7     0     0     0
0    2    7     0     0     0
0    7    28     0     0     0
0    12    31     0     0     0
32    2002    1     6     25     31
33    2000    1     6     26     32
36    2005    27     1     8     9
38    15    31     0     7     7
38    3    7     0     31     31
42    2006    27     0     15     15
44    2012    41     0     3     3
0    8    28     0     0     0
0    13    31     0     0     0
0    10    28     0     0     0
0    9    28     0     0     0
0    6    28     0     0     0
0    17    47     0     0     0
52    2018    44     0     8     8
53    1    7     0     46     46
53    19    47     0     6     6
54    2014    41     0     13     13
57    2015    44     0     13     13
58    2017    44     3     11     14
61    2008    27     1     33     34
61    2001    1     6     54     60
65    2011    41     6     18     24
0    16    47     0     0     0
0    4    7     0     0     0
0    23    65     0     0     0
66    2010    41     6     19     25
71    2027    69     0     2     2
71    2019    44     0     27     27
72    2003    1     6     65     71
74    2016    44     0     30     30
75    2026    69     0     6     6
79    2029    69     0     10     10
79    2007    27     0     52     52
81    2033    80     0     1     1
82    2013    41     0     41     41
83    2030    80     0     3     3
83    2032    80     0     3     3
84    2034    80     0     4     4
87    2024    68     0     19     19
88    2009    27     0     61     61
89    2037    87     0     2     2
89    2038    87     0     2     2
90    2031    80     0     10     10
90    2036    87     0     3     3
92    2044    88     0     4     4
94    2022    68     0     26     26
98    18    47     0     51     51
0    27    71     0     0     0
0    21    65     0     0     0
0    11    31     0     0     0
0    14    31     0     0     0
0    24    65     0     0     0
0    30    71     0     0     0
0    39    101     0     0     0
103    2020    68     0     35     35
104    2041    88     0     16     16
0    26    71     0     0     0
0    44    109     0     0     0
0    50    110     0     0     0
0    40    101     0     0     0
0    47    110     0     0     0
111    38    101     0     10     10
0    46    110     0     0     0
0    42    109     0     0     0
114    45    109     0     5     5
116    2035    87     0     29     29
120    2043    88     0     32     32
125    22    65     0     60     60
0    41    109     0     0     0
0    35    80     0     0     0
0    54    126     0     0     0
127    36    101     0     26     26
129    2048    129     0     0     0
131    2049    129     0     2     2
134    2047    129     0     5     5
134    2039    87     0     47     47
134    2023    68     0     66     66
134    53    126     0     8     8
135    2028    69     0     66     66
0    37    101     0     0     0
0    31    80     0     0     0
0    60    137     0     0     0
0    55    126     0     0     0
0    56    137     0     0     0
139    2025    69     0     70     70
143    2045    129     0     14     14
144    2052    141     0     3     3
149    2050    141     0     8     8
153    2046    129     0     24     24
0    62    159     0     0     0
0    61    159     0     0     0
161    2053    141     0     20     20
Battle Result . . .
EARTH ARMY WIN ! ! !For Earth Army
Total number of ES : 9
Total number of ET : 2
Total number of EG : 7
Total number of HU :  Total Destructed_ES  Total ES0  9
 Total Destructed_ET  Total ET0  2
 Total Destructed_EG  Total EG0  7
 Total Destructed_HU  Total HUTotal Destructed Units  Total Units 0  18
Df/Db = 96 / 250     Dd/Db = 250 / 250


For Alien Army
Total number of AD : 0
Total number of AM : 0
Total number of AS : 0
 Total Destructed_AS  Total AD0  0 Total Destructed_AM  Total AM0  0 Total Destructed_AG  Total AS0  0Total Destructed Units  Total Units 0  0
Df/Db = 1499 / 1111     Dd/Db = 1064 / 1111
